order_items.attributes.Size Variation.placeholder,,Select an Option
order_items.attributes.State,,State
orders.actions.Cancel,Cancel,取消
orders.actions.Delete,Delete,删除
orders.actions.Processing,Processing,进度
orders.attributes.Abandoned Reason,,Abandoned Reason
orders.attributes.Billing Address,,Billing Address
orders.attributes.Cancelled At,Cancelled At,Cancelled At
orders.attributes.Cancelled At.placeholder,,年-月-日 时:分
orders.attributes.Order Items,,Order Items
orders.attributes.Payment Amount,Payment Amount,Payment Amount
orders.attributes.Returned At,,Returned At
orders.attributes.Returned At.placeholder,,YYYY-MM-DD HH:MM
orders.attributes.Shipped At,Shipped At,Shipped At
orders.attributes.Shipped At.placeholder,,YYYY-MM-DD
orders.attributes.Shipping Address,Shipping Address,Shipping Address
orders.attributes.State,State,State
orders.attributes.Tracking Number,,Tracking Number
orders.attributes.User,User,用户
orders.attributes.User.placeholder,,Select an Option
orders.attributes.add_Order Item,,Add Order Item
orders.name,,Order
orders.name.plural,,Orders
orders.scopes.Order Status,,Order Status
orders.scopes.Order Status.Cancelled,,Cancelled
orders.scopes.Order Status.Checkout,,Checkout
orders.scopes.Order Status.Paid,,Paid
orders.scopes.Order Status.Paid Cancelled,,Paid Cancelled
orders.scopes.Order Status.Processing,,Processing
orders.scopes.Order Status.Returned,,Returned
orders.scopes.Order Status.Shipped,,Shipped
product.add_to_cart,ADD TO CART,添加到购物车
product.add_to_wishlist,TO WISHLIST,添加到购物列表
product.also_bought,WHAT OTHER PEOPLE BOUGHT,用户还买了什么
product.also_bought_note,"People who bought this products, also bought the following products","买过这件产品的用户, 还购买了以下产品"
product.color,COLOR:,颜色:
product.description,DESCRIPTION:,描述:
product.framistan,Framistan:,Framistan:
product.made_in,Made in:,制作地:
product.materials,Materials:,材料:
product.quantity,QTY:,数量:
product.recommendations,RECOMMENDATIONS,推荐
product.recommendations_note,Products you might also like based on other products you viewed,你可能还会喜欢下面的产品
product.share,SHARE:,分享:
product.size,SIZE:,尺寸:
product.size_guide,Size Guide,尺寸表
product.specs,SPECS:,规格:
product_properties.attributes.Name,,Name
product_properties.attributes.Value,,Value
products.actions.Create New Version,,Create New Version
products.actions.Delete,,删除
products.actions.Localize,,Localize
products.actions.Sync from Name,,Sync from Name
products.actions.View On Site,,点看查看
products.attributes.Category,,分类
products.attributes.Category.placeholder,,选择一个操作
products.attributes.Code,,Code
products.attributes.Collections,,Collections
products.attributes.Color Variations,,Color Variations
products.attributes.Description,,Description
products.attributes.Made Country,,Made Country
products.attributes.Made Country.placeholder,,Select an Option
products.attributes.Main Image,,Main Image
products.attributes.Name,,Name
products.attributes.Name's slug,,Name's slug
products.attributes.Price,,Price
products.attributes.Product Properties,,Product Properties
products.attributes.Publish Ready,,Publish Ready
products.attributes.Scheduled End At,,Scheduled End At
products.attributes.Scheduled End At.placeholder,,YYYY-MM-DD HH:MM
products.attributes.Scheduled Event,,Scheduled Event
products.attributes.Scheduled Start At,,Scheduled Start At
products.attributes.Scheduled Start At.placeholder,,YYYY-MM-DD HH:MM
products.attributes.Version Name,,Version Name
products.attributes.add_Main Image,,Add Main Image
products.attributes.add_Product Property,,Add Product Property
products.description,,Meta Description
products.filter.Collections,,Collections
products.form.sections.Basic Information,,Basic Information
products.form.sections.Organization,,Organization
products.form.sections.Seo Meta,,Seo Meta
products.keywords,,Meta Keywords
products.name,,Product
products.name.plural,,Products
products.scopes.Made Country,,Made Country
products.scopes.Made Country.China,,China
products.scopes.Made Country.Japan,,Japan
products.scopes.Made Country.USA,,USA
products.title,,HTML Title
qor_action_bar.action.Admin Dashboard,Admin Dashboard,管理员面板
qor_action_bar.action.Edit SEO,Edit SEO,SEO编辑
qor_action_bar.action.edit,EDIT,编辑
qor_action_bar.action.logged_as,Logged in as {{.DisplayName}},用户 {{.DisplayName}}
qor_action_bar.action.login,LOGIN,登录
qor_action_bar.action.logout,LOGOUT,退出
qor_action_bar.action.preview,PREVIEW,预览
qor_actionbar.form.edit,Edit Action Bar,编辑操作栏
qor_activities.attributes.Content,,内容
qor_activities.attributes.Note,,Note
qor_activity.form.add_activity,,Add Activity
qor_activity.form.new_activity,,New Activity
qor_activity.form.note,,Note:
qor_activity.form.tab_title,,Activity
qor_admin.account.logout,logout,退出
qor_admin.actions.bulk_edit,Bulk Edit,Bulk Edit
qor_admin.actions.executed,,Action {{.Name}}: Executed
qor_admin.actions.executed_successfully,,Action {{.Name}}: Executed successfully
qor_admin.actions.exit_bulk_edit,Exit Bulk Edit,Exit Bulk Edit
qor_admin.actions.localized,,Localized
qor_admin.actions.not_localized,,Not Localized
qor_admin.actions.please_select_an_item,,Please select an item
qor_admin.actions.query_mode,,Query Mode
qor_admin.actions.search_bar_search,Search,搜索
qor_admin.actions.sorting_mode,,搜索模式
qor_admin.actions.undone,,Action {{.Name}}: Undone
qor_admin.form.add_Product,,Add Product
qor_admin.form.add_items,,ADD ITEMS
qor_admin.form.add_resource,,Add {{$1}}
qor_admin.form.are_you_sure,Are You Sure?,你确定？
qor_admin.form.button.change_position,,Change Position
qor_admin.form.button.done,,Done
qor_admin.form.button.move,,移动
qor_admin.form.cancel,,取消
qor_admin.form.cancel_edit,,取消编辑
qor_admin.form.click_to_select,,点击选择
qor_admin.form.crop_image,,Crop image
qor_admin.form.done,Done,成功
qor_admin.form.edit.title,,编辑 {{$1}}
qor_admin.form.enter_search_term,,Enter Search Term
qor_admin.form.index.title,{{$1}},{{$1}}
qor_admin.form.new.title,,Add {{$1}}
qor_admin.form.notifications/notifications.title,,{{$1}}
qor_admin.form.ok,,OK
qor_admin.form.save_changes,,保存更改
qor_admin.form.select_many_hint,,item(s) selected
qor_admin.form.select_many_hint_button,,DONE
qor_admin.form.show.title,,{{$1}} Details
qor_admin.form.submit,,Submit
qor_admin.form.successfully_updated,,{{.Name}} was successfully updated
qor_admin.form.undo,,UNDO
qor_admin.form.widget_no_settings,,No configurable settings for this container.
qor_admin.layout.header.actions,Actions,Actions
qor_admin.layout.logo,"<a href=""{{.Prefix}}""><span class=""visuallyhidden"">QOR</span></a><a href=""/"" target=""_blank"">View Site <i class=""material-icons md-14"" aria-hidden=""true"">open_in_new</i></a>","<a href=""{{.Prefix}}""><span class=""visuallyhidden"">QOR</span></a><a href=""/"" target=""_blank"">View Site <i class=""material-icons md-14"" aria-hidden=""true"">open_in_new</i></a>"
qor_admin.layout.powered_by,"Powered by <a href=""http://getqor.com"" target=""_blank"">QOR</a>",技术支持
qor_admin.layout.skip_to_content,Skip to content,跳到内容
qor_admin.layout.title,Admin,管理员
qor_admin.menus.Abandoned Orders,Abandoned Orders,Abandoned Orders
qor_admin.menus.Articles,Articles,标题
qor_admin.menus.Blog Management,Blog Management,微博管理
qor_admin.menus.Categories,Categories,分类
qor_admin.menus.Collections,Collections,Collections
qor_admin.menus.Colors,Colors,颜色
qor_admin.menus.Dashboard,Dashboard,数据面板
qor_admin.menus.Events,Events,事件
qor_admin.menus.Order Management,Order Management,Order Management
qor_admin.menus.Orders,Orders,Orders
qor_admin.menus.Product Images,Product Images,产品图片
qor_admin.menus.Product Management,Product Management,产品管理
qor_admin.menus.Products,Products,产品
qor_admin.menus.Publishing,Publishing,发布
qor_admin.menus.SEO Setting,SEO Setting,SEO设置
qor_admin.menus.Schedules,Schedules,时刻表
qor_admin.menus.Shop Setting,Shop Setting,店铺设置
qor_admin.menus.Site Management,Site Management,站点管理
qor_admin.menus.Sizes,Sizes,尺寸
qor_admin.menus.Store Management,Store Management,商店管理
qor_admin.menus.Stores,Stores,商店
qor_admin.menus.Translations,Translations,翻译
qor_admin.menus.User Management,User Management,用户管理
qor_admin.menus.Users,Users,用户
qor_admin.menus.Widget Contents,Widget Contents,控件内容
qor_admin.menus.Workers,Workers,职员
qor_admin.pagination.100_entries,100 Entries per page,100 Entries per page
qor_admin.pagination.20_entries,20 Entries per page,20 Entries per page
qor_admin.pagination.50_entries,50 Entries per page,50 Entries per page
qor_admin.pagination.first,,首页
qor_admin.pagination.last,Last Page,尾页
qor_admin.pagination.next,Next Page,下一页
qor_admin.pagination.page_num,Page {{.Pages}},{{.Pages}}页
qor_admin.pagination.previous,,Previous Page
qor_admin.pagination.show_all,Show All Entries,显示所有
qor_admin.publish.button.versions,,VERSIONS
qor_admin.publish.hint.this_version_is_live,,This version is live
qor_admin.publish.hint.view_all_versions_to_see_which_is_live,,View all versions to see which is live
qor_admin.search_center.all,,All
qor_admin.search_center.hint,Search…,搜索…
qor_admin.search_center.orders,,Order
qor_admin.search_center.products,,Product
qor_admin.search_center.title,Search Center,搜索中心
qor_admin.search_center.users,,User
qor_admin.search_center.view_all,,View All
qor_i18n.actions.export_translations,Export Translations,导出翻译
qor_i18n.actions.import_translations,Import Translations,导入翻译
qor_i18n.form.cancel_edit,Cancel Edit,取消编辑
qor_i18n.form.copy,Copy,复制
qor_i18n.form.save,Save,保存
qor_i18n.form.saved,Saved,已保存
qor_i18n.form.source,Source,资源
